observation_date,EXJPUS
2002-04-01,130.7718
2002-05-01,126.3750
2002-06-01,123.2905
2002-07-01,117.8991
2002-08-01,118.9927
2002-09-01,121.0780
2002-10-01,123.9077
2002-11-01,121.6079
2002-12-01,121.8929
2003-01-01,118.8133
2003-02-01,119.3379
2003-03-01,118.6871
2003-04-01,119.8950
2003-05-01,117.3681
2003-06-01,118.3290
2003-07-01,118.6959
2003-08-01,118.6624
2003-09-01,114.8000
2003-10-01,109.4955
2003-11-01,109.1778
2003-12-01,107.7377
2004-01-01,106.2685
2004-02-01,106.7079
2004-03-01,108.5157
2004-04-01,107.6564
2004-05-01,112.1960
2004-06-01,109.4336
2004-07-01,109.4871
2004-08-01,110.2336
2004-09-01,110.0914
2004-10-01,108.7835
2004-11-01,104.6990
2004-12-01,103.8104
2005-01-01,103.3410
2005-02-01,104.9442
2005-03-01,105.2543
2005-04-01,107.1938
2005-05-01,106.5952
2005-06-01,108.7473
2005-07-01,111.9535
2005-08-01,110.6065
2005-09-01,111.2390
2005-10-01,114.8695
2005-11-01,118.4540
2005-12-01,118.4624
2006-01-01,115.4765
2006-02-01,117.8605
2006-03-01,117.2778
2006-04-01,117.0695
2006-05-01,111.7305
2006-06-01,114.6250
2006-07-01,115.7670
2006-08-01,115.9243
2006-09-01,117.2145
2006-10-01,118.6090
2006-11-01,117.3205
2006-12-01,117.3220
2007-01-01,120.4471
2007-02-01,120.5047
2007-03-01,117.2600
2007-04-01,118.9324
2007-05-01,120.7732
2007-06-01,122.6886
2007-07-01,121.4148
2007-08-01,116.7335
2007-09-01,115.0435
2007-10-01,115.8661
2007-11-01,111.0729
2007-12-01,112.4490
2008-01-01,107.8181
2008-02-01,107.0300
2008-03-01,100.7562
2008-04-01,102.6777
2008-05-01,104.3595
2008-06-01,106.9152
2008-07-01,106.8518
2008-08-01,109.3624
2008-09-01,106.5748
2008-10-01,99.9659
2008-11-01,96.9656
2008-12-01,91.2750
2009-01-01,90.1205
2009-02-01,92.9158
2009-03-01,97.8550
2009-04-01,98.9200
2009-05-01,96.6445
2009-06-01,96.6145
2009-07-01,94.3670
2009-08-01,94.8971
2009-09-01,91.2748
2009-10-01,90.3671
2009-11-01,89.2674
2009-12-01,89.9509
2010-01-01,91.1011
2010-02-01,90.1395
2010-03-01,90.7161
2010-04-01,93.4527
2010-05-01,91.9730
2010-06-01,90.8059
2010-07-01,87.5005
2010-08-01,85.3727
2010-09-01,84.3571
2010-10-01,81.7285
2010-11-01,82.5180
2010-12-01,83.3376
2011-01-01,82.6250
2011-02-01,82.5368
2011-03-01,81.6470
2011-04-01,83.1771
2011-05-01,81.1257
2011-06-01,80.4259
2011-07-01,79.2425
2011-08-01,76.9657
2011-09-01,76.7957
2011-10-01,76.6430
2011-11-01,77.5595
2011-12-01,77.7967
2012-01-01,76.9640
2012-02-01,78.4700
2012-03-01,82.4659
2012-04-01,81.2524
2012-05-01,79.6668
2012-06-01,79.3152
2012-07-01,78.9348
2012-08-01,78.6909
2012-09-01,78.1353
2012-10-01,79.0132
2012-11-01,81.0305
2012-12-01,83.7905
2013-01-01,89.0581
2013-02-01,93.0016
2013-03-01,94.7700
2013-04-01,97.7582
2013-05-01,100.9186
2013-06-01,97.2350
2013-07-01,99.6727
2013-08-01,97.8123
2013-09-01,99.2100
2013-10-01,97.7700
2013-11-01,100.0737
2013-12-01,103.4600
2014-01-01,103.7614
2014-02-01,102.1253
2014-03-01,102.3395
2014-04-01,102.4582
2014-05-01,101.7738
2014-06-01,102.0629
2014-07-01,101.7400
2014-08-01,102.9438
2014-09-01,107.4257
